Date	Day	Action	Actor	Target	Agent	Event	Country	Location	Issue	Linkdate	Time	Reds	Red missing	Red injured	Red deaths	Whites	White missing	White injured	White dead	Source	No event	Sources
4-Nov-17	Sun	demonstration	"soldiers, workers"	Mensheviks		demand more food & pay	Russia	Petrograd	food & pay			30001	0	0	0	0	0	0	0	Pearlstein		"An Englishwoman, From a Russian Diary, 1917-1920. New York: E.P. Dutton, 1921."
5-Nov-17	Mon	deploy	Bolsheviks	Mensheviks		begin to occupy strategic points	Russia	Petrograd	Bolshevik control			3001	0	0	0	0	0	0	0	Moorehead		"Arenz, Wilhelm. Polen und Russland 1918-1919. Leipzig, Germany: S. Hirzel, 1939."
6-Nov-17	Tue	arrest	Bolsheviks	military		arm contingent arrested by Red Guards	Russia	Petrograd	Bolshevik control			31	0	0	0	31	31	0	0	Trotsky 1959		"Bunyan, James. Intervention, Civil War, and Communism in Russia, April-December 1918. Baltimore: Johns Hopkins University Press, 1936."
6-Nov-17	Tue	attack	Bolsheviks	Mensheviks		"try to take Winter Palace, but retreat"	Russia	Petrograd	Bolshevik control		8:00-9:00	3001	0	0	0	301	0	0	0	Pipes		"Bunyan, James and H.H. Fisher. The Bolshevik Revolution, 1917-1918: Documents and Materials. Stanford, CA: Stanford University Press, 1961."
6-Nov-17	Tue	coup	Bolsheviks	Mensheviks		take over strategic spots in city	Russia	Petrograd	Bolshevik control			15000	0	0	0	0	0	0	0	Pipes		"Coates, W.P. & Zelda Coates. Armed Intervention in Russia, 1918-1922. London: Victor Gollanz, 1935."
6-Nov-17	Tue	coup	Bolsheviks	Mensheviks		use armed force to seize power	Russia	Petrograd	Bolshevik control		19:00	3001	0	0	0	301	301	0	0	Mawdsley		"Chamberlin, The Russian Revolution. 2 volumes. New York: Macmillan, 1935."
6-Nov-17	Tue	occupation	Bolsheviks	government	news agency	take over state news room	Russia	Petrograd	Bolshevik control		21:00	31	0	0	0	0	0	0	0	Trotsky 1959		"Davies, Norman. White Eagle, Red Star: The Polish-Soviet War, 1919-1920. London, UK: MacDonald, 1972."
6-Nov-17	Tue	proscription	Mensheviks	Bolsheviks	newspaper	shut down Bolshevik newspaper	Russia	Petrograd	anti-Bolshevik		5:30	8	8	0	0	8	0	0	0	Pearlstein		"Fiddick, Thomas C. Russia's Retreat from Poland, 1920. New York: St. Martin's Press, 1990."
7-Nov-17	Wed	arrest	Bolsheviks	Junkers		take 2 truckloads of Junkers into custody	Russia	Petrograd	Bolshevik control		6:00	301	0	0	0	60	60	0	0	Trotsky 1959		"Gordon, Alban. Russian Civil War: A Sketch for a History. London: Cassell, 1937."
7-Nov-17	Wed	arrest	Bolsheviks	Mensheviks		arrest the Kerensky government	Russia	Petrograd	Bolshevik control		3:10	301	0	0	0	31	31	0	0	Pipes		"Kenez, Peter. Civil War in South Russia, 1918. Berkeley: University of California Press, 1971."
7-Nov-17	Wed	battle	Bolsheviks	Mensheviks		battle for Winter Palace	Russia	Petrograd	Bolshevik control		12:00-23:59	301	0	3	1	201	31	3	1	Trotsky 1959		"Kenez, Peter. Civil War in South Russia, 1919-1920. Berkeley: University of California Press, 1977."
7-Nov-17	Wed	statement	Bolsheviks	citizens		Bolsheviks claim to hold power	Russia	Petrograd	Bolshevik control		10:00	8	0	0	0	0	0	0	0	Trotsky 1959		"Jackson, Robert. At War with the Bolsheviks: The Allied Intervention into Russia, 1917-1920. London: Tom Stacey, 1972."
8-Nov-17	Thu	battle	Bolsheviks	Mensheviks		battle for Winter Palace	Russia	Petrograd	Bolshevik control		0:00-2:10	301	0	0	0	201	0	0	0	Trotsky 1959		"Hudson, Miles. Intervention in Russia, 1918-1920: A Cautionary Tale. Barnsley, UK: Leo Cooper, 2004."
8-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Lincoln, W. Bruce. Red Victory. New York: Simon & Schuster, 1989."
9-Nov-17	Fri	censorship	Bolsheviks	press		proscribe all 'counter-revolutionary' publications	Russia	Petrograd	Bolshevik control			8	0	0	0	0	0	0	0	Pipes		"Loukomsky,  Aleksandr. Memoirs of the Russian Revolution. London: T. Fisher Unwin, 1922."
9-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Mawdsley, Evan. The Russian Civil War. Edinburgh, UK: Berlinn, 2005."
9-Nov-17	Fri	strike	workers	Bolsheviks		demand more food & pay	Russia	Petrograd	food & pay			0	0	0	0	30001	0	0	0	Trotsky 1959		"Moorehead, Alan. The Russian Revolution. New York: Carroll & Graf, 1958."
10-Nov-17	Sat	arrest	Committee of Salvation	Bolsheviks		arrest courier with message of invasion	Russia	Petrograd	Bolshevik control			3	0	0	0	1	1	0	0	Swain		"Markov, Sergey von. Armee ohne Heimat. Leipzig: Ralph A. Hoeger-Verlag, 1935."
10-Nov-17	Sat	attack	Whites	Bolsheviks		aborted attack is halted by Bolsheviks	Russia	Petrograd	civil war			301	0	0	0	301	200	71	30	Mawdsley		"Murphy, Brian. Rostov in the Rusian Civil War: The Key to Victory. London: Routledge, 2005."
10-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Pearlstein, Edward W., ed. Revolution in Russia, New York: Viking Press, 1967."
10-Nov-17	Sat	strike	workers	Bolsheviks		demand more food & pay	Russia	Petrograd	food & pay			0	0	0	0	30001	0	0	0	Trotsky 1959		"Pipes, Richard. A Concise History of the Russian Revolution. New York: Random House, 1995."
11-Nov-17	Sun	attack	Bolsheviks	Mensheviks		attack at midnight	Russia	Moscow	Bolshevik control			1001	0	31	8	801	31	31	8	Pipes		"Stewart, George. The White Armies of Russia. New York: Macmillian, 1933."
11-Nov-17	Sun	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Swain, Geoffrey. Russia's Civil War, Charleston, SC: Tempus, 2000."
11-Nov-17	Sun	rising	military students	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	501	0	0	0	Bunyan & Fisher		"Swain, Geoffrey. The Origins of the Russian Civil War. New York: Longman, 1996."
12-Nov-17	Mon	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		"Trotsky, Leon. The Russian Revolution. New York: Doubleday, 1959."
12-Nov-17	Mon	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Trotsky, Leon. The Military Writing of Leon Trotsky. vol. 1, 1918"
13-Nov-17	Tue	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		
14-Nov-17	Wed	battle	Bolsheviks	Mensheviks		struggle to control Moscow	Russia	Moscow	Bolshevik control			970	0	31	8	701	0	31	8	Pipes		
14-Nov-17	Wed	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		Coding Notes
15-Nov-17	Thu	battle	Bolsheviks	Mensheviks		Mensheviks surrender	Russia	Moscow	Bolshevik control			900	0	0	0	301	401	0	0	Pipes		
15-Nov-17	Thu	battle	Bolsheviks	Whites		against Bolshevik takeover	Russia	Irkutsk	anti-Bolshevik			3001	0	101	31	2001	0	301	31	Mawdsley		"While there are many texts on the Russian civil war, there are no specific"
15-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		chronologies with casualities as in the U.S. civil war. Most of the 
16-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"casualties are estimated from the texts noted above. In general, the"
17-Nov-17	Sat	decree power	Bolsheviks	citizens		central committee votes 25-23 for decree power of Bolsheviks	Russia	Petrograd	Bolshevik control			48	0	0	0	0	0	0	0	Pipes		total dead and wounded listed in the data are lower than the official 
17-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Soviet publishied data (G.E. Krivosheev, Soviet Casualties and "
18-Nov-17	Sun	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"Combat Losses in the Twentieth Century. Stackpole Books, 1997)."
19-Nov-17	Mon	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		Our data neither have soldiers who deserted nor who died later from wounds.
20-Nov-17	Tue	riot	Bolsheviks	Whites		White commander killed by Red mob	Russia	Mogliev	Bolshevik control			101	0	0	0	1	1	0	1	Mawdsley		"We have attempted to represent the time, place and scale of the conflicts"
20-Nov-17	Tue	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		accurately.
21-Nov-17	Wed	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		
22-Nov-17	Thu	order	Bolsheviks	soldiers		soldiers ordered to contact Germans & ask for truce	Russia	Russia	war truce			8	0	0	0	0	0	0	0	Moorehead		
22-Nov-17	Thu	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"For the most part, ""Red"" data are the Bolsheviks. The White data include "
22-Nov-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		"all opposed to the Bolsheviks, including Whites, Cossacks, SR's, Poles, Americans,"
23-Nov-17	Fri	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		"British, French and Japanese. The Chechen conflict, however, was directed mostly "
23-Nov-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		against the Whites.
24-Nov-17	Sat	riot	soldiers	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik			301	0	0	0	301	31	3	1	Moorehead		
24-Nov-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		"We have used the Gregorian dates. Lenin changed the calendar in February 1918, but they extend to the Bolshevik takeover in these data."
25-Nov-17	Sun	dismiss	generals	Bolsheviks		Bolsheviks fire army generals	Russia	Dvinsk	Bolshevik control			8	0	0	0	31	31	0	0	Moorehead		
25-Nov-17	Sun	election	citizens	Bolsheviks		Bolsheviks get only 24% of vote	Russia	Russia	anti-Bolshevik			41700000	0	0	0	0	0	0	0	Moorehead		
26-Nov-17	Mon	offer	Bolsheviks	Germans		Bolsheviks march into German lines with white flag	Russia	Dvinsk	armistice			31	0	0	0	0	0	0	0	Moorehead		
26-Nov-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
27-Nov-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
28-Nov-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
29-Nov-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
30-Nov-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
1-Dec-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
2-Dec-17	Sun	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
3-Dec-17	Mon	murder	Bolsheviks	general		lynch Czarist general	Russia	Mogliev	Bolshevik control			8	0	0	0	1	1	0	1	Moorehead		
3-Dec-17	Mon	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
3-Dec-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
4-Dec-17	Tue	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
4-Dec-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
5-Dec-17	Wed	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
5-Dec-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
6-Dec-17	Thu	censorship	Bolsheviks	SR paper		Red Guards shut down SR newspaper	Russia	Petrograd	Bolshevik control			8	0	0	0	31	31	0	0	Bunyan & Fisher		
6-Dec-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
7-Dec-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
8-Dec-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
9-Dec-17	Sun	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
10-Dec-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
11-Dec-17	Tue	mobilization	Constituent Assembly	Bolsheviks		meet in spite of Bolshevik obstruction	Russia	Petrograd	anti-Bolshevik			301	0	0	0	900	0	0	0	Moorehead		
11-Dec-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
12-Dec-17	Wed	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
12-Dec-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
13-Dec-17	Thu	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
13-Dec-17	Thu	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
13-Dec-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
14-Dec-17	Fri	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
14-Dec-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
15-Dec-17	Sat	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
15-Dec-17	Sat	escape	White generals	Bolsheviks		escape & venture southward to the Don	Russia	Bykov	anti-Bolshevik			0	0	0	0	8	0	0	0	Bunyan & Fisher		
15-Dec-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
16-Dec-17	Sun	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
17-Dec-17	Mon	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
17-Dec-17	Mon	cease-fire	Bolsheviks	Germans		WWI cease-fire begins on Eastern front	Russia	Brest	cease-fire		12/3/1917	8	0	0	0	0	0	0	0	Moorehead		
17-Dec-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
18-Dec-17	Tue	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
18-Dec-17	Tue	battle	Bolsheviks	Whites		Bolsheviks attack & defeat Whites	Russia	Unechi	civil war			2001	0	31	8	2001	0	301	101	Bunyan & Fisher		
18-Dec-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
19-Dec-17	Wed	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
19-Dec-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
20-Dec-17	Thu	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
20-Dec-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
21-Dec-17	Fri	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
21-Dec-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
22-Dec-17	Sat	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
22-Dec-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
23-Dec-17	Sun	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
24-Dec-17	Mon	arrest	Bolsheviks	Kadets		arrest the Constitutional Democrats	Russia	Petrograd	Bolshevik control			31	0	0	0	8	8	0	0	Bunyan & Fisher		
24-Dec-17	Mon	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
24-Dec-17	Mon	battle	Whites	Bolsheviks		Whites & Cossacks battle Bolshevik occupation	Russia	Rostov	civil war			4000	0	31	8	5000	0	31	8	Bunyan & Fisher		
24-Dec-17	Mon	demonstration	citizens	Bolsheviks		march in support of the Constituent Assembly	Russia	Petrograd	anti-Bolshevik			0	0	0	0	200000	0	0	0	Bunyan & Fisher		
24-Dec-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
25-Dec-17	Tue	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
25-Dec-17	Tue	battle	Whites	Bolsheviks		Whites & Cossacks battle Bolshevik occupation	Russia	Rostov	civil war			4000	0	31	8	5000	0	31	8	Bunyan & Fisher		
25-Dec-17	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
26-Dec-17	Wed	arrest	Constituent Assembly	Bolsheviks		Cheka arrests delegates & supporters	Russia	Petrograd	Bolshevik control			1001	0	0	0	8	8	0	0	Moorehead		
26-Dec-17	Wed	battle	Whites	Bolsheviks		Whites & Cossacks battle Bolshevik occupation	Russia	Rostov	civil war			4000	0	31	8	5000	0	31	8	Bunyan & Fisher		
26-Dec-17	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
27-Dec-17	Thu	battle	Whites	Bolsheviks		Whites & Cossacks drive out Bolsheviks	Russia	Rostov	civil war			4000	0	31	8	5000	0	31	8	Bunyan & Fisher		
27-Dec-17	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
28-Dec-17	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
29-Dec-17	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
30-Dec-17	Sun	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
31-Dec-17	Mon	preclude	Whites	Bolsheviks		Bolsheviks break up White Russian conference	Russia	Petrograd	Bolshevik control			301	0	0	0	301	301	0	0	Bunyan & Fisher		
31-Dec-17	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
1-Jan-18	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
2-Jan-18	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
3-Jan-18	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
4-Jan-18	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
5-Jan-18	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
6-Jan-18	Sun	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
7-Jan-18	Mon	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
8-Jan-18	Tue	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
9-Jan-18	Wed	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
10-Jan-18	Thu	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
11-Jan-18	Fri	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
12-Jan-18	Sat	arrest	Bolsheviks	SR		arrest leading SR	Russia	Petrograd	Bolshevik control			8	0	0	0	1	1	0	0	Bunyan & Fisher		
12-Jan-18	Sat	strike	state workers	Bolsheviks		demand a coalition government	Russia	Petrograd	anti-Bolshevik			301	0	0	0	10000	0	0	0	Pipes		
13-Jan-18	Sun	preclude	Bolsheviks	Kadets		proscribe the liberal party	Russia	Russia	Bolshevik control			8	0	0	0	0	0	0	0	Pipes		
14-Jan-18	Mon	dismiss	Bolsheviks	strikers		dismiss strikers	Russia	Petrograd	Bolshevik control			301	0	0	0	10000	100000	0	0	Pipes		
14-Jan-18	Mon	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
15-Jan-18	Tue	assassination	SR	Lenin		shoot at Lenin when he was in a car; missed	Russia	Petrograd	anti-Bolshevik			2	0	1	0	1	0	0	0	Moorehead		
15-Jan-18	Tue	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
15-Jan-18	Tue	suicide	Cossack Ataman	Bolsheviks		Ataman kills himself	Russia	Garnison	anti-Bolshevik			0	0	0	0	1	0	0	1	Markow		
16-Jan-18	Wed	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
17-Jan-18	Thu	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
18-Jan-18	Fri	demonstration	SR	Bolsheviks		against Bolshevik takeover	Russia	Petrograd	anti-Bolshevik		10:00-13:00	301	0	0	0	201	31	8	0	Bunyan & Fisher		
18-Jan-18	Fri	negotiations	Bolsheviks	Germans		discuss peace terms	Russia	Brest	armistice			8	0	0	0	0	0	0	0	Moorehead		
18-Jan-18	Fri	repression	Constituent Assembly	Bolsheviks		Bolshevik guards shoot at delegates	Russia	Petrograd	Bolshevik control			1001	0	0	0	500	0	31	0	Moorehead		
19-Jan-18	Sat	occupation	Bolsheviks	Cossacks		Bolsheviks seize city	Russia	Orenburg	Bolshevik control			5000	0	0	0	301	0	0	0	Bunyan & Fisher		
19-Jan-18	Sat	proscription	Constituent Assembly	Bolsheviks		Bolsheviks abolish the elected parliament	Russia	Petrograd	Bolshevik control			8	0	0	0	500	0	0	0	Moorehead		
20-Jan-18	Sun	assassination	Bolsheviks	Kadets		sailors shoot dead 2 leading Kadets	Russia	Petrograd	Bolshevik control			8	0	0	0	2	0	0	2	Bunyan & Fisher		
20-Jan-18	Sun	occupation	Bolsheviks	Cossacks		Bolsheviks occupy city	Russia	Orenburg	Bolshevik control			5000	0	0	0	301	0	0	0	Bunyan & Fisher		
21-Jan-18	Mon	occupation	Bolsheviks	Cossacks		Bolsheviks occupy city	Russia	Orenburg	Bolshevik control			5000	0	0	0	301	0	0	0	Bunyan & Fisher		
22-Jan-18	Tue	occupation	Bolsheviks	Cossacks		Bolsheviks occupy city	Russia	Orenburg	Bolshevik control			5000	0	0	0	301	0	0	0	Bunyan & Fisher		
23-Jan-18	Wed	meeting	Bolsheviks	Whites		Congress of Soviets meets	Russia	Petrograd	Bolshevik control			942	0	0	0	54	0	0	0	Bunyan & Fisher		
24-Jan-18	Thu	meeting	Bolsheviks	Whites		Congress of Soviets meets	Russia	Petrograd	Bolshevik control			942	0	0	0	54	0	0	0	Bunyan & Fisher		
25-Jan-18	Fri	meeting	Bolsheviks	Whites		Congress of Soviets meets	Russia	Petrograd	Bolshevik control			942	0	0	0	54	0	0	0	Bunyan & Fisher		
26-Jan-18	Sat	meeting	Bolsheviks	Whites		Congress of Soviets meets	Russia	Petrograd	Bolshevik control			942	0	0	0	54	0	0	0	Bunyan & Fisher		
