Date,Day,Action,Actor,Target,Agent,Event,State,Location,Issue,Linked date,Time/Duration,side1troops,side1arrests,side1injured,side1killed,side2troops,side2arrests,side2injured,side2killed,Source,no event,Sources
9-Feb-61,Sat,rally,Confederates,Union,,Jefferson Davis elected provisional president of CSA,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Bowman,,
10-Feb-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
11-Feb-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
12-Feb-61,Tue,occupation,Confederates,Union,forts/arsenals,state militia takes over arsenal,Arkansas,Napoleon,secession,,,301,0,0,0,31,31,0,0,Bowman,,
13-Feb-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
14-Feb-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
15-Feb-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
16-Feb-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
17-Feb-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
18-Feb-61,Mon,rally,Confederates,Union,,Jefferson Davis is inaugurated as President,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Gallman,,
19-Feb-61,Tue,occupation,Confederates,Union,,state militia seizes U.S. paymaster's office,Louisiana,New Orleans,secession,,,101,0,0,0,0,0,0,0,Bowman,,
20-Feb-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
21-Feb-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
22-Feb-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
23-Feb-61,Sat,secession,Texas,Union,,Texas voters approve secession,Texas,Texas,secession,,,34794,0,0,0,0,0,0,0,Katcher,,
24-Feb-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
25-Feb-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
26-Feb-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
27-Feb-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
28-Feb-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
1-Mar-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
2-Mar-61,Sat,seizure,Texas,Union,navy,seize revenue cutter Henry Dodge,Texas,Galveston,secession,,,101,0,0,0,31,31,0,0,Katcher,,
3-Mar-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
4-Mar-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
5-Mar-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
6-Mar-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
7-Mar-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
8-Mar-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
9-Mar-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
10-Mar-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
11-Mar-61,Mon,institutional design,Confederates,Union,,congress adopts Confederate constitution,Alabama,Montgomery,secession,,,301,0,0,0,0,0,0,0,Katcher,,
12-Mar-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
13-Mar-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
14-Mar-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
15-Mar-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
16-Mar-61,Sat,secession,Arizona,Union,,legislature votes to secede,Arizona,Phoenix,secession,,,101,0,0,0,0,0,0,0,Bowman,,
17-Mar-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
18-Mar-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
19-Mar-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
20-Mar-61,Wed,seizure,Confederates,Union,navy,seize USS Isabella,Alabama,Mobile,secession,,,101,0,0,0,31,31,0,0,Katcher,no event,
21-Mar-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
22-Mar-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
23-Mar-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
24-Mar-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
25-Mar-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
26-Mar-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
27-Mar-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
28-Mar-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
29-Mar-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
30-Mar-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
31-Mar-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
1-Apr-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
2-Apr-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
3-Apr-61,Wed,shelling,Confederates,Union,navy,fire at federal schooner Rhoda H. Shannon,South Carolina,Charleston,secession,,,101,0,0,0,31,0,0,0,Arnold & Wiener,,
4-Apr-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
5-Apr-61,Fri,,,,,,,,,,,,,,,,,,,,no event,
6-Apr-61,Sat,,,,,,,,,,,,,,,,,,,,no event,
7-Apr-61,Sun,,,,,,,,,,,,,,,,,,,,no event,
8-Apr-61,Mon,,,,,,,,,,,,,,,,,,,,no event,
9-Apr-61,Tue,,,,,,,,,,,,,,,,,,,,no event,
10-Apr-61,Wed,,,,,,,,,,,,,,,,,,,,no event,
11-Apr-61,Thu,ultimatum,Confederates,Union,army,demand surrender of Fort Sumter,South Carolina,Charleston,secession,,,301,0,0,0,65,0,0,0,Arnold & Wiener,,
12-Apr-61,Fri,attack,Confederates,Union,army,"attack Fort Sumter; fire 3,341 shells against 21 guns",South Carolina,Charleston,secession,,4:30,301,0,0,0,65,0,4,0,Davis,,
13-Apr-61,Sat,attack,Confederates,Union,army,"attack Fort Sumter; fire 3,341 shells against 21 guns",South Carolina,Charleston,secession,,,301,0,0,0,65,0,0,1,Davis,,
14-Apr-61,Sun,attack,Confederates,Union,army,Major Anderson surrenders fort,South Carolina,Charleston,secession,,14:00,301,0,0,0,65,0,0,0,Davis,,
15-Apr-61,Mon,mobilization,Union,Confederates,,"Lincoln asks for 75,000 troops to fight rebellion",Washington,District of Columbia,secession,,,0,0,0,0,1,0,0,0,Katcher,,
16-Apr-61,Tue,seizure,Confederates,Union,forts/arsenals,state militia seizes Forts Casell & Johnston,North Carolina,Johnston,secession,,,301,0,0,0,101,101,0,0,Katcher,,
17-Apr-61,Wed,secession,Virginia,Union,,legislature votes to secede,Virginia,Richmond,secession,,,88,0,0,0,0,0,0,0,Katcher,,
17-Apr-61,Wed,attack,Confederates,Union,navy,the steamer Star of the West is boarded & seized,Texas,Indianola,CSA,,,101,0,0,0,31,31,0,0,Bowman,,
18-Apr-61,Thu,,,,,,,,,,,,,,,,,,,,no event,
19-Apr-61,Fri,obstruction,Confederates,Union,army,"block Massachusetts regiment; 4 soldiers, 9 civilians dead",Maryland,Baltimore,pro-Confederacy,,,301,0,0,9,900,0,0,4,Katcher,,
19-Apr-61,Fri,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
20-Apr-61,Sat,surrender,Union,Confederates,,U.S. navy abandons base at Norfolk,Virginia,Norfolk,civil war,,,0,0,0,0,301,0,0,0,Katcher,,
20-Apr-61,Sat,resign,Union,Confederates,,Robert E. Lee resigns from federal army to lead Virginia troops,Virginia,Richmond,secession,,,1,0,0,0,0,0,0,0,Sauers,,
21-Apr-61,Sun,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
22-Apr-61,Mon,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
23-Apr-61,Tue,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
23-Apr-61,Tue,seizure,Arkansas,Union,army,state seizes Fort Smith,Arkansas,Fort Smith,secession,,,301,0,0,0,101,101,0,0,Katcher,,
24-Apr-61,Wed,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
25-Apr-61,Thu,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
25-Apr-61,Thu,raid,Union,Confederates,,"Illinois troops take 10,000 muskets from Missouri arsenal",Missouri,St. Louis,Union,,,0,0,0,0,101,0,0,0,Bowman,,
26-Apr-61,Fri,obstruction,Union,Confederates,,Lincoln orders blockade of southern ports,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
27-Apr-61,Sat,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
28-Apr-61,Sun,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
29-Apr-61,Mon,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
30-Apr-61,Tue,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
1-May-61,Wed,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
1-May-61,Wed,secession,North Carolina,Union,,legislature votes to secede,North Carolina,Raleigh,secession,,,101,0,0,0,0,0,0,0,Katcher,,
2-May-61,Thu,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
3-May-61,Fri,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
3-May-61,Fri,mobilization,Union,Confederates,,"Lincoln asks 42,000 army volunteers",Washington,District of Columbia,union preservation,,,0,0,0,0,1,0,0,0,Bowman,,
4-May-61,Sat,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
5-May-61,Sun,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
6-May-61,Mon,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
6-May-61,Mon,secession,Arkansas,Union,,legislature votes to secede,Arkansas,Little Rock,secession,,,69,0,0,0,0,0,0,0,Bowman,,
7-May-61,Tue,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
7-May-61,Tue,riot,Confederates,Union,,"supporters of each fight; several injured, one killed",Tennessee,Knoxville,union preservation,,,101,0,31,0,101,0,31,1,Bowman,,
8-May-61,Wed,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
9-May-61,Thu,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
10-May-61,Fri,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
10-May-61,Fri,riot,Union,Confederates,,tensions between militia & U.S. troops lead to riot,Missouri,St. Louis,secession,,,101,0,31,14,101,0,31,15,Bowman,,
11-May-61,Sat,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
11-May-61,Sat,riot,Union,Confederates,,secessionists clash with U.S. troops,Missouri,St. Louis,secession,,,101,0,8,3,301,0,8,4,Bowman,,
12-May-61,Sun,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
13-May-61,Mon,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
14-May-61,Tue,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
15-May-61,Wed,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
16-May-61,Thu,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
17-May-61,Fri,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
18-May-61,Sat,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
18-May-61,Sat,battle,Union,Confederates,,first battle of the civil war; no casualties,Virginia,Sewall's Point,civil war,,,31,0,0,0,31,0,0,0,Bowman,,
18-May-61,Sat,obstruction,Union,Confederates,,blockade Rappahannock river,Virginia,Rappahannock,civil war,,,301,0,0,0,301,0,0,0,Arnold & Wiener,,
19-May-61,Sun,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
20-May-61,Mon,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
21-May-61,Tue,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
22-May-61,Wed,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
23-May-61,Thu,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
23-May-61,Thu,secession,Virginia,Union,,citizens vote to secede,Virginia,Virginia,secession,,,97000,0,0,0,0,0,0,0,Bowman,,
24-May-61,Fri,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
24-May-61,Fri,occupation,Union,Virginia,,union troops occupy Alexandria to protect Washington,Virginia,Alexandria,civil war,,,301,0,0,1,301,0,0,1,Bowman,,
25-May-61,Sat,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
26-May-61,Sun,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
26-May-61,Sun,proscribe,Union,Confederates,,U.S. postmaster precludes mail to the Confederacy,Washington,District of Columbia,civil war,,,0,0,0,0,1,0,0,0,Bowman,,
26-May-61,Sun,obstruction,Union,Confederates,,blockade port in Mobile,Alabama,Mobile,civil war,,,301,0,0,0,101,0,0,0,Bowman,,
26-May-61,Sun,obstruction,Union,Confederates,,blockade port of New Orleans,Louisiana,New Orleans,civil war,,,301,0,0,0,101,0,0,0,Bowman,,
27-May-61,Mon,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
28-May-61,Tue,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
29-May-61,Wed,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
30-May-61,Thu,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
30-May-61,Thu,occupation,Union,Confederates,,Federal troops occupy Grafton to protect rail line,Virginia,Grafton,civil war,,,301,0,0,0,1001,0,0,0,Bowman,,
31-May-61,Fri,obstruction,Union,Confederates,,Lincoln expands blockade to Virginia & North Carolina,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
1-Jun-61,Sat,battle,Union,Confederates,,battle in Northern Virginia,Virginia,Arlington Mills,civil war,,,101,0,3,1,101,0,3,0,Bowman,,
1-Jun-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
2-Jun-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
3-Jun-61,Mon,battle,Union,Confederates,,"surprised, Confederates flee",Virginia,Phillippi,civil war,,,101,0,0,0,101,0,0,0,Bowman,,
4-Jun-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
5-Jun-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
6-Jun-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
6-Jun-61,Thu,statement,Union,states,,Lincoln promises Union will pay war costs if states mobilize troops,Washington,District of Columbia,war costs,,,0,0,0,0,8,0,0,0,Bowman,,
7-Jun-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
8-Jun-61,Sat,secession,Tennessee,Union,,state poll supports secession,Tennessee,Tennessee,secession,,,104913,0,0,0,0,0,0,0,Bowman,,
8-Jun-61,Sat,secession,Virginia,Union,,all federal troops transferred to Confederacy,Virginia,Virginia,secession,,,30001,0,0,0,0,0,0,0,Arnold & Wiener,,
9-Jun-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
10-Jun-61,Mon,battle,Confederates,Union,,Confederates rout Union troops,Virginia,Bethel Church,civil war,,,1200,0,7,1,2500,0,53,18,Bowman,,
10-Jun-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
11-Jun-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
11-Jun-61,Tue,mobilization,Missouri,Union,,"pro-CSA governor raises 50,000 troops",Missouri,Missouri,civil war,,,1,0,0,0,0,0,0,0,Bowman,,
11-Jun-61,Tue,anti-secession,Western Virginians,Virginia,,meet in Wheeling to form a separate state & stay in USA,West Virginia,Wheeling,union preservation,,,0,0,0,0,301,0,0,0,Arnold & Wiener,,
11-Jun-61,Tue,march,Union,Confederates,,Colonel Stone leads union troops into Confederate area,Maryland,Rockville,civil war,,,0,0,0,0,2500,0,0,0,Faust,,
12-Jun-61,Wed,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
12-Jun-61,Wed,march,Union,Confederates,,Colonel Stone leads union troops into Confederate area,Virginia,Great Falls,civil war,,,0,0,0,0,2500,0,0,0,Faust,,
13-Jun-61,Thu,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
13-Jun-61,Thu,march,Union,Confederates,,Colonel Stone leads union troops into Confederate area,Virginia,Seneca Mills,civil war,,,0,0,0,0,2500,0,0,0,Faust,,
14-Jun-61,Fri,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
14-Jun-61,Fri,retreat,Confederates,Union,,leave Harper's Ferry as union troops move in,Virginia,Harper's Ferry,civil war,,,301,0,0,0,0,0,0,0,Bowman,,
14-Jun-61,Fri,battle,Union,Confederates,,minor skirmish in Virginia,Virginia,Seneca Mills,civil war,,,2000,0,8,3,2500,0,8,3,Faust,,
15-Jun-61,Sat,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
15-Jun-61,Sat,occupation,Union,Missouri,,union troops occupy Missouri capital,Missouri,Jefferson City,civil war,,,0,0,0,0,301,0,0,0,Sauers,,
15-Jun-61,Sat,march,Union,Confederates,,Colonel Stone leads union troops into Confederate area,Virginia,Edwards' Ferry,civil war,,,0,0,0,0,2500,0,0,0,Faust,,
16-Jun-61,Sun,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
17-Jun-61,Mon,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
17-Jun-61,Mon,battle,Union,Confederates,,union prevails against Missouri militia,Missouri,Boonville,civil war,,,1100,60,8,3,1700,1,9,2,Sauers,,
18-Jun-61,Tue,obstruction,Union,Confederates,,blockade of Atlantic & Gulf coasts continues,Atlantic & Gulf coasts,,,,,0,0,0,0,1001,0,0,0,Katcher,,
